CustomerID,Recency,Frequency,Monetary,Cluster,DBSCAN_Cluster
1109,25,1,5000.0,0,0
1110,19,10,452281.5,1,-1
1111,6,5,1198395.157376,1,0
1112,5,10,1024145.0,1,0
1113,7,5,736455.0,1,0
1114,11,4,52127.0,0,0
1115,5,4,693383.65,0,0
1116,8,7,6264617.0,1,0
1117,8,7,198790.5,1,0
1118,14,6,532268.0,0,0
1119,6,7,1794709.1225,1,0
1120,5,3,146960.0,0,0
1121,1,9,2317987.75,1,0
1122,5,4,141449.0,0,0
1123,6,3,612070.0,0,0
1124,7,3,49881.0,0,0
1125,5,8,1122715.0,1,0
1126,7,5,1110702.0,1,0
1127,5,7,5023085.0,1,0
1128,4,6,12506250.239374999,2,-1
1129,5,8,265810.75,1,0
1130,1,9,193273.1225,1,0
1131,13,4,422350.0,0,0
1132,12,8,868117.4,1,0
1133,5,7,621692.0,1,0
1134,3,3,75340.0,0,0
1135,4,5,3634510.0,1,0
1136,5,6,107400.0,1,0
1137,19,2,54890.0,0,0
1138,4,2,11561.26,0,0
1139,6,3,855987.5,0,0
1140,12,5,3417135.0,0,0
1141,7,4,3092652.0,0,0
1142,5,8,17066535.0,2,-1
1143,5,8,1177168.0,1,0
1144,8,10,6346957.0,1,0
1145,12,5,2752695.0,0,0
1146,6,11,5742715.03,1,-1
1147,6,8,13777676.509226,2,-1
1148,13,4,339531.0,0,0
1149,1,5,510703.0,1,0
1150,6,7,178705.173,1,0
1151,1,10,184679.0,1,0
1152,6,7,116038.0,1,0
1153,9,8,1932324.0,1,0
1154,7,4,187980.0,0,0
1155,14,3,1039766.0,0,0
1156,4,7,296535.0,1,0
1157,6,7,11724555.63,2,-1
1158,22,4,215746.5,0,0
1159,5,10,597949.1225,1,0
1160,1,11,1901494.75,1,0
1161,4,4,1089248.0,0,0
1162,4,7,4880464.0,1,0
1163,11,6,4251952.5,1,0
1164,5,7,409375.0,1,0
1165,18,5,564549.0,0,0
1166,3,2,142900.0,0,0
1167,11,5,491394.75,0,0
1168,6,3,57826.0,0,0
1169,2,9,1190933.0,1,0
1170,5,4,2329040.0,0,0
1171,5,6,81788.0,1,0
1172,7,9,694457.0,1,0
1173,7,4,683468.03,0,0
1174,2,6,2101627.0,1,0
1175,6,6,100115.0,1,0
1176,11,9,582238.25,1,0
1177,11,7,1881737.5,1,0
1178,5,7,2510848.25,1,0
1179,5,6,943578.25,1,0
1180,7,6,2256314.5,1,0
1181,13,4,240600.0,0,0
1182,12,4,144282.5,0,0
1183,5,5,597515.0,1,0
1184,10,3,400607.0,0,0
1185,7,5,3838323.0,1,0
1186,5,7,516662.0,1,0
1187,2,8,6512110.0,1,0
1188,1,3,420155.5,0,0
1189,2,7,2881826.25,1,0
1190,4,4,297750.0,0,0
1191,1,10,14325407.0,2,-1
1192,29,4,43992.0,0,0
1193,6,5,5728390.0,1,0
1194,6,7,3088394.0,1,0
1195,8,4,35185.0,0,0
1196,14,3,3578500.0,0,0
1197,5,9,658112.89,1,0
1198,6,5,47227.718125,1,0
1199,24,2,223000.0,0,0
1200,5,6,936889.9,1,0
1201,4,8,9912050.0,1,-1
1202,5,3,2390900.0,0,0
1203,10,4,546462.0,0,0
1204,15,3,320200.0,0,0
1205,3,5,127107.0,1,0
1206,5,5,131062.5,1,0
1207,4,5,115527.1225,1,0
1208,28,3,47950.0,0,0
1209,24,4,6139455.0,0,-1
1210,27,2,55100.0,0,0
1211,14,3,178705.0,0,0
1212,4,5,1329524.0,1,0
1213,5,6,1008301.0,1,0
1214,1,11,1573890.0,1,0
1215,5,7,125254.25,1,0
1216,4,9,955186.78,1,0
1217,4,8,183820.25,1,0
1218,28,2,14184.0,0,0
1219,5,9,1260870.0,1,0
1220,12,2,64982.0,0,0
1221,5,7,1178716.0,1,0
1222,7,10,3556071.0,1,0
1223,5,9,4650219.0,1,0
1224,5,7,221944.0,1,0
1225,7,9,2529752.0,1,0
1226,5,11,2936621.5,1,0
1227,14,5,317410.0,0,0
1228,8,9,1297861.0,1,0
1229,6,2,20498.75,0,0
1230,4,8,190505.0,1,0
1231,31,2,416819.0,0,0
1232,5,11,567383.0,1,0
1233,5,3,940338.0,0,0
1234,12,4,456197.5,0,0
1235,2,8,243196.5,1,0
1236,4,8,2261723.75,1,0
1237,6,4,91550.0,0,0
1238,8,8,119767.5,1,0
1239,5,4,530511.25,0,0
1240,5,3,45831.0,0,0
1241,3,7,1578512.5,1,0
1242,5,7,459951.0,1,0
